ID,unwing,wing,log2FoldChange,padj
CL3500.Contig18_All,199.486169217111,22.5232835426503,3.14103776138838,8.38542003314161e-05
CL1755.Contig3_All,295.690824072738,41.4504209088534,3.58901625734027,9.03315546956369e-05
Unigene10421_All,306.474777061174,59.4707160367705,2.40576101740833,9.64479823504157e-05
CL567.Contig3_All,657.094096214171,81.0315259776367,2.8615545999635,9.70613658414125e-05
CL23.Contig1_All,872.370681917426,24.871359400693,5.06544487316887,9.89003374318393e-05
Unigene10391_All,2281.13975687508,1069.14562223102,3.61072663134863,0.000128603908053733
Unigene14334_All,1047.69690941753,275.667490656333,1.88593948040438,0.000160753319671691
CL1496.Contig4_All,6576.12813955677,4129.35263034168,3.95832494922707,0.000177452896166065
Unigene20154_All,701.686837710808,172.615342770095,1.99888588762963,0.000177452896166065
CL1280.Contig2_All,2233.89343347135,576.909323320354,1.91994621906709,0.000193923863332242
CL1695.Contig2_All,1743.56425082017,382.089393380978,2.30646050156032,0.000197459709288511
Unigene16515_All,718.265189765137,165.756010768675,2.15153977285814,0.000217012600070218
CL3341.Contig2_All,1165.11288849938,307.198807653523,1.97210263963743,0.000224866450240517
CL1278.Contig1_All,279.074382414656,58.1916314288639,4.2009887996961,0.000290178791667435
Unigene27611_All,603.296158981413,130.898087082923,2.26762609676331,0.000290786384030198
CL1280.Contig3_All,2104.04908157037,557.370853931077,1.88973085067294,0.000302378519825883
CL3242.Contig1_All,2619.92760233871,951.182230273273,2.67855843024015,0.000340329222278052
CL907.Contig1_All,59.6958709914183,0.659738341551322,6.30462035387336,0.000352274091526711
Unigene18306_All,448.199927779698,34.3560962481318,3.17474819092184,0.000365623705283454
Unigene3201_All,1295.35050948109,388.400779113826,1.76197630280501,0.000372618046185428
Unigene22462_All,746.286603289535,45.6412225373189,3.79310342027815,0.00045401907668225
Unigene2518_All,1238.40018094097,235.431004092427,2.35430415359511,0.00045401907668225
Unigene4248_All,471.204852701808,102.30217386826,2.04726297773561,0.000474975119954939
CL2694.Contig1_All,174.842430480954,19.7482355213441,3.44610223399142,0.000633274799150972
Unigene13260_All,2176.50109028933,490.704739865801,2.94404032167991,0.00069984156679405
CL2608.Contig1_All,2109.01410349699,646.134687668669,2.01186847727466,0.00082946655776553
Unigene3919_All,496.167758870804,56.5294220094627,3.10207507646948,0.000938890838508751
CL2869.Contig2_All,380.492953540306,77.8330284430667,2.92443618131187,0.00119388711065933
Unigene26647_All,64.719822958033,0,6.98595304732506,0.00119388711065933
CL3702.Contig1_All,552.530105265485,128.963614612979,2.71084715495203,0.00125237680321984
CL1755.Contig2_All,270.253988796939,50.2758140138711,3.03015340206639,0.00158437550834275
Unigene6057_All,940.782200555587,217.559094602065,2.19803372608516,0.00158437550834275
Unigene4750_All,2667.20837349136,748.897119468877,1.8009231446107,0.00163005857285793
CL1755.Contig1_All,480.724398144798,104.701784095649,2.83048630806875,0.00194319054301647
Unigene14145_All,1392.07137286266,408.058592846808,1.93013232583283,0.00194319054301647
Unigene19370_All,138.880426454863,15.1965873027711,3.84847314259726,0.00194319054301647
Unigene18471_All,890.310826426459,61.4258883315805,3.26576478891934,0.00257876710706315
CL2694.Contig2_All,423.491025076322,102.077280819486,2.23949355825411,0.00274381889376123
Unigene10247_All,275.116917587382,70.4159104148249,2.07625968002575,0.00274381889376123
Unigene12945_All,2896.04183801242,911.939241489734,1.57734929031032,0.00304273989007186
Unigene5938_All,2210.03073404959,669.732644219042,2.14182622617796,0.00341982443227615
CL2610.Contig1_All,271.889959283647,54.563755504995,2.29797058533278,0.00357728645370293
CL1940.Contig2_All,8724.71374428221,9071.87053587934,3.52953756241011,0.00362088611229862
Unigene2030_All,614.517068616176,141.550572070931,2.1085905167418,0.00383504733032588
Unigene24139_All,426.67397373064,198.858569794924,3.31009914490359,0.00386801924814221
Unigene2554_All,466.196793643122,117.788849480933,1.97791059469539,0.00387273935510726
CL2241.Contig1_All,650.197854736386,186.226982153857,1.69626018234786,0.00415347071768708
Unigene18104_All,377.791034666705,79.6355032520612,2.46635242952346,0.00432137603429712
Unigene20303_All,724.931419194207,241.929415763398,1.57340169768943,0.0044250646334283
Unigene8699_All,98.2208539031216,17.600294524312,2.60984923644077,0.00452610813217778
CL656.Contig13_All,56.1177950503093,5.10774347727908,3.57164192653425,0.00460144777600721
Unigene17429_All,38.11618669146,0.688272664677092,5.70587179775858,0.00460144777600721
CL3341.Contig1_All,580.817468155117,168.624066549401,1.85013565407111,0.0047947451701533
Unigene13489_All,94.0006776673907,7.25712175706455,4.32092647055878,0.00500250801683358
CL658.Contig2_All,4806.95704384138,457.22966260931,3.39846754289188,0.00502702837987097
Unigene40071_All,278.921712693179,64.1681639218418,2.5579237359722,0.00514326457073588
CL2142.Contig1_All,92.440359381311,7.39177912941205,4.77288332403282,0.00514514396158351
Unigene4987_All,151.013919668721,33.1146028902554,2.77857226505383,0.00523784167452539
CL315.Contig2_All,61.5042105361374,1.31947668310264,6.25508827075327,0.00541374603697518
Unigene600_All,1268.00378650508,423.538652867699,1.87873599122916,0.00591261841235916
CL1596.Contig1_All,101.227706347584,19.2110433147074,2.4790150771604,0.00601169510173472
CL3646.Contig1_All,16944.2898208784,31974.7703655815,3.66971916159333,0.00601169510173472
Unigene26414_All,148.274945011668,6.30057703131556,4.6944653068571,0.00609083784743004
CL2343.Contig1_All,302.775371666347,61.4078482181125,2.49072601345199,0.00614827536149039
Unigene19897_All,120.627727818406,18.8992511275702,2.94927000634203,0.00647512793683141
Unigene10235_All,4133.73833263375,319.357461670139,3.13682143793749,0.00651540603047819
Unigene22426_All,52.7727664112909,0.688272664677092,5.61129065703556,0.00668299133626663
Unigene21838_All,78.5422921038003,10.6549649543847,2.88487017233136,0.00678782586810719
CL684.Contig3_All,1464.35213923044,262.455726395462,2.65860279967437,0.00689950490039737
Unigene9689_All,82.9211229529245,10.2795271604679,2.84533572474804,0.00694206818392406
Unigene14540_All,301.234945501201,66.4999578079592,3.2783746679552,0.00775837855732383
CL1280.Contig4_All,1164.24172214186,334.512543318497,1.74954446505853,0.00780585758568606
Unigene18894_All,8441.51224201019,13684.2744992303,3.4745559355641,0.00780585758568606
Unigene3326_All,74.9125792255594,2.38318714169648,5.29299161632505,0.00780585758568606
Unigene2435_All,415.895065521083,125.521744318869,1.78490856774008,0.00795930247939724
Unigene10230_All,843.501819920139,215.097952877315,1.66442217953256,0.00799311583987966
CL1599.Contig2_All,940.032380767232,321.958791521974,1.5739550996579,0.00864537715382508
CL532.Contig3_All,1954.34395159609,665.929802477052,1.59145527301178,0.00864537715382508
CL1936.Contig3_All,2609.56967003307,2236.05955673984,2.95418162661259,0.00865721141818745
Unigene33_All,936.506023724949,214.081250085699,2.18908542462879,0.00902952597157229
Unigene13733_All,123.359710332393,28.2692025980131,2.33065611083312,0.0102400425167705
Unigene10412_All,20291.6774281951,33840.5918340905,3.38358171103801,0.0102780468257027
Unigene3606_All,170.095786365349,18.8766456804795,4.0620047488835,0.0102780468257027
CL1263.Contig2_All,3654.02016333137,1229.44684846003,2.134681807758,0.0108314491098475
